basename,mags_and_gtdb,gtdb,mag_only,gtdb_reps,mags_and_gtdbreps
ERR1135178,0.776361833,0.744442494,0.410509886,0.591457765,0.713527646
ERR1135179,0.700265501,0.673775077,0.365497445,0.554510129,0.659402923
ERR1135180,0.660430207,0.62584017,0.360695325,0.534587345,0.645118442
ERR1135181,0.707528353,0.672563955,0.389273634,0.557689637,0.678215969
ERR1135182,0.689883668,0.654850906,0.362759171,0.559868774,0.667836944
ERR1135183,0.694171276,0.659367957,0.35417502,0.550454283,0.663812579
ERR1135184,0.714194105,0.682742792,0.399714404,0.555180391,0.667134542
ERR1135185,0.75103006,0.729037822,0.416398991,0.579382639,0.697880896
ERR1135186,0.877321572,0.866627451,0.458325889,0.692558981,0.79555276
ERR1135187,0.67739516,0.638166354,0.349281404,0.537796963,0.665569265
ERR1135188,0.656958127,0.617527851,0.310274506,0.538737288,0.650807998
ERR1135189,0.664179234,0.620226877,0.39969558,0.498907618,0.626829472
ERR1135190,0.719257522,0.684126638,0.433044882,0.55909409,0.677262213
ERR1135191,0.708701385,0.673177828,0.432183992,0.535542985,0.665650043
ERR1135192,0.703142777,0.66388922,0.408939718,0.549070558,0.672960725
ERR1135193,0.720898193,0.682703697,0.391066522,0.562822855,0.685702224
ERR1135194,0.741040332,0.703208529,0.423930244,0.566317061,0.697900616
ERR1135195,0.672097159,0.63478442,0.386433157,0.53013582,0.642589364
ERR1135196,0.835802534,0.811891629,0.484800384,0.648859824,0.776332515
ERR1135197,0.808987786,0.762108662,0.465424443,0.620306377,0.756667728
ERR1135198,0.739710297,0.707741088,0.455917356,0.565573984,0.689408181
ERR1135199,0.743365201,0.701044029,0.446282485,0.550635164,0.692188355
ERR1135200,0.728470278,0.691658059,0.408693618,0.56396508,0.686486532
ERR1135201,0.691427229,0.657058707,0.341787625,0.54805566,0.662290894
ERR1135202,0.641987109,0.597878595,0.36590776,0.497910408,0.609066489
ERR1135203,0.661342862,0.62175398,0.322889169,0.516082659,0.636791782
ERR1135204,0.673207071,0.632641488,0.361890924,0.512040755,0.631120198
ERR1135205,0.829090583,0.773218478,0.500973054,0.620637047,0.771481198
ERR1135206,0.75246008,0.714056275,0.438451613,0.589062145,0.713861254
